종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,존재하는 테마9,존재하는 테마10,존재하는 테마11,존재하는 테마12,차트링크
삼성전기,009150,0.00%,173761,609051,거래대금,173761,3,아이폰,유리 기판,자율주행차,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-009150/
효성중공업,298040,+4.01%,168544,73759,거래대금,168544,3,원자력발전,전력설비,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,https://kr.tradingview.com/symbols/KRX-298040/
삼성SDI,006400,-0.86%,129170,447796,거래대금,129170,3,IT 대표주,리비안(RIVIAN),아이폰,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-006400/
HD현대일렉트릭,267260,+1.57%,125643,139572,거래대금,125643,3,밸류업(24년 기업가치 제고계획 발표),전력설비,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,https://kr.tradingview.com/symbols/KRX-267260/
지투지바이오,456160,+6.43%,429499,5191497,거래대금,429499,2,비만치료제,치매,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-456160/
한화갤러리아,452260,+6.18%,375688,161607681,거래대금,375688,2,백화점,소매유통,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-452260/
한화시스템,272210,-5.80%,337050,3694449,거래대금,337050,2,밸류업(25년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-272210/
에이비엘바이오,298380,+2.54%,289670,1492687,거래대금,289670,2,면역항암제,치매,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-298380/
한미반도체,042700,-0.83%,231460,1282769,거래대금,231460,2,밸류업(25년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-042700/
한국항공우주,047810,-6.42%,230344,1453520,거래대금,230344,2,밸류업(25년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-047810/
SK스퀘어,402340,+3.96%,220260,501455,거래대금,220260,2,밸류업(24년 기업가치 제고계획 발표),밸류업(25년 기업가치 제고계획 발표),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-402340/
한국전력,015760,+1.67%,185405,3394585,거래대금,185405,2,원자력발전,전력설비,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-015760/
삼현,437730,+9.58%,166806,2287740,거래대금,166806,2,자동차부품,자율주행차,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-437730/
삼천당제약,000250,+10.06%,164897,605202,거래대금,164897,2,비만치료제,제약업체,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000250/
비에이치아이,083650,+4.39%,164634,2769506,거래대금,164634,2,원자력발전,원자력발전소 해체,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-083650/
현대글로비스,086280,-3.38%,157895,607057,거래대금,157895,2,밸류업(24년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-086280/
모베이스전자,012860,+29.98%,155948,28807032,거래대금,155948,2,리비안(RIVIAN),자동차부품,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-012860/
현대로템,064350,-2.05%,148167,687877,거래대금,148167,2,GTX(수도권 광역급행철도),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-064350/
로보로보,215100,+6.22%,121264,12964371,거래대금,121264,2,4차산업 수혜주,지능형로봇/인공지능(AI),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-215100/
