종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,존재하는 테마9,존재하는 테마10,존재하는 테마11,존재하는 테마12,존재하는 테마13,존재하는 테마14,존재하는 테마15,차트링크
롯데에너지머티리얼즈,020150,+26.61%,106887,2653823,거래대금,106887,4,2차전지,2차전지(소재/부품),2차전지(전고체),PCB(FPCB 등),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-020150/
에코프로비엠,247540,+7.68%,275699,1614170,거래대금,275699,3,2차전지,2차전지(나트륨이온),2차전지(소재/부품),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-247540/
포스코퓨처엠,003670,+8.23%,217578,1019427,거래대금,217578,3,2차전지,2차전지(소재/부품),리튬,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-003670/
고려아연,010130,-6.16%,169586,108070,거래대금,169586,3,2차전지,2차전지(소재/부품),희귀금속(희토류 등),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-010130/
LS ELECTRIC,010120,+2.17%,110042,211156,거래대금,110042,3,전기차,전력저장장치(ESS),초전도체,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-010120/
현대차,005380,-3.64%,3967195,7175425,거래대금,3967195,2,전기차,폐배터리,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-005380/
이수스페셜티케미컬,457190,+16.25%,507395,4886655,거래대금,507395,2,2차전지,2차전지(전고체),,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-457190/
삼천당제약,000250,+12.83%,395280,1254292,거래대금,395280,2,바이오시밀러(복제 바이오의약품),비만치료제,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000250/
에이피알,278470,+11.50%,377311,1351739,거래대금,377311,2,미용기기,화장품,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-278470/
유진로봇,056080,+5.85%,293382,7833188,거래대금,293382,2,DMZ 평화공원,사물인터넷,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-056080/
HL만도,204320,-4.90%,205476,2934851,거래대금,205476,2,리비안(RIVIAN),전기차,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-204320/
한미반도체,042700,-1.05%,178484,1034709,거래대금,178484,2,HBM(고대역폭메모리),전자파,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-042700/
에프에스티,036810,+23.57%,144787,3685621,거래대금,144787,2,바이오인식(생체인식),반도체 재료/부품,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-036810/
카카오,035720,+1.92%,137299,2364788,거래대금,137299,2,두나무(Dunamu),인터넷 대표주,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-035720/
레이크머티리얼즈,281740,+29.94%,128110,6474121,거래대금,128110,2,2차전지(전고체),반도체 재료/부품,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-281740/
모베이스전자,012860,-8.72%,124960,29253962,거래대금,124960,2,리비안(RIVIAN),전기차,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-012860/
아모레퍼시픽,090430,+6.38%,112912,897713,거래대금,112912,2,마이크로바이옴,화장품,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-090430/
