종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,존재하는 테마9,존재하는 테마10,존재하는 테마11,존재하는 테마12,존재하는 테마13,존재하는 테마14,존재하는 테마15,존재하는 테마16,존재하는 테마17,존재하는 테마18,존재하는 테마19,차트링크
효성중공업,298040,+8.37%,151983,63867,거래대금,151983,5,원자력발전,전력설비,전력저장장치(ESS),코리아 밸류업 지수(Korea Value-up Index),풍력에너지,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-298040/
현대모비스,012330,+2.11%,105930,244335,거래대금,105930,5,밸류업(24년 기업가치 제고계획 발표),음성인식,자율주행차,코리아 밸류업 지수(Korea Value-up Index),피지컬 AI/휴머노이드 로봇,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-012330/
미래에셋증권,006800,+11.25%,682339,12815514,거래대금,682339,4,밸류업(24년 기업가치 제고계획 발표),스페이스X(SpaceX),증권,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-006800/
에코프로,086520,+2.25%,585879,3691114,거래대금,585879,4,2차전지,2차전지(소재/부품),리튬,온실가스(탄소배출권)/탄소 포집·활용·저장(CCUS),,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-086520/
한화에어로스페이스,012450,+1.02%,338107,275049,거래대금,338107,4,UAM(도심항공모빌리티),냉각시스템(액침냉각 등),우주항공산업(누리호/인공위성 등),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-012450/
HD현대일렉트릭,267260,+11.07%,281352,305359,거래대금,281352,4,밸류업(24년 기업가치 제고계획 발표),전력설비,전력저장장치(ESS),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-267260/
한미반도체,042700,+0.92%,270196,1365865,거래대금,270196,4,HBM(고대역폭메모리),반도체 장비,시스템반도체,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-042700/
헥토파이낸셜,234340,+22.29%,239937,8232405,거래대금,239937,4,STO(토큰증권 발행),스테이블코인,전자결제(전자화폐),핀테크(FinTech),,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-234340/
기아,000270,+1.25%,203627,1327549,거래대금,203627,4,밸류업(24년 기업가치 제고계획 발표),자율주행차,코리아 밸류업 지수(Korea Value-up Index),피지컬 AI/휴머노이드 로봇,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000270/
한국전력,015760,+3.13%,168793,2719421,거래대금,168793,4,원자력발전,전력설비,태양광에너지,풍력에너지,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-015760/
신성이엔지,011930,+9.75%,144865,59577518,거래대금,144865,4,두나무(Dunamu),반도체 장비,전력저장장치(ESS),태양광에너지,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-011930/
카카오,035720,+2.31%,108388,1879959,거래대금,108388,4,UAM(도심항공모빌리티),두나무(Dunamu),음성인식,핀테크(FinTech),,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-035720/
한화솔루션,009830,+13.57%,1688923,35966171,거래대금,1688923,3,日 수출 규제(국산화 등),석유화학,태양광에너지,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-009830/
아모레퍼시픽,090430,+20.25%,393973,2440573,거래대금,393973,3,밸류업(24년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),화장품,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-090430/
KB금융,105560,+1.41%,252138,1667630,거래대금,252138,3,STO(토큰증권 발행),밸류업(24년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-105560/
한화시스템,272210,+1.36%,202478,1930541,거래대금,202478,3,UAM(도심항공모빌리티),우주항공산업(누리호/인공위성 등),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-272210/
삼성물산,028260,+7.94%,173107,561474,거래대금,173107,3,건설 대표주,자원개발,태양광에너지,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-028260/
나노팀,417010,+12.22%,146123,10376220,거래대금,146123,3,2차전지,2차전지(소재/부품),스페이스X(SpaceX),,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-417010/
신한지주,055550,-0.21%,143080,1517801,거래대금,143080,3,STO(토큰증권 발행),밸류업(24년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-055550/
유니테스트,086390,+22.71%,135533,6502818,거래대금,135533,3,HBM(고대역폭메모리),반도체 장비,태양광에너지,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-086390/
하나금융지주,086790,+3.66%,112826,948117,거래대금,112826,3,STO(토큰증권 발행),밸류업(24년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-086790/
대한전선,001440,+4.30%,111454,3526863,거래대금,111454,3,원자력발전,전력설비,전선,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-001440/
우리기술,032820,+0.32%,104856,10992240,거래대금,104856,3,원자력발전,원자력발전소 해체,풍력에너지,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-032820/
이수페타시스,007660,0.00%,101574,869564,거래대금,101574,3,5G(5세대 이동통신),PCB(FPCB 등),우주항공산업(누리호/인공위성 등),,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-007660/
한국항공우주,047810,+2.72%,100048,617986,거래대금,100048,3,UAM(도심항공모빌리티),우주항공산업(누리호/인공위성 등),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-047810/
에코프로비엠,247540,+4.19%,167763,830326,거래대금,167763,2,2차전지,2차전지(소재/부품),,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-247540/
HD현대에너지솔루션,322000,+0.71%,161128,1851627,거래대금,161128,2,전력저장장치(ESS),태양광에너지,,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-322000/
보성파워텍,006910,+8.53%,141451,16724294,거래대금,141451,2,원자력발전,전력설비,,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-006910/
스피어,347700,-0.54%,122717,3219167,거래대금,122717,2,스페이스X(SpaceX),우주항공산업(누리호/인공위성 등),,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-347700/
현대로템,064350,+4.94%,112889,532481,거래대금,112889,2,우주항공산업(누리호/인공위성 등),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-064350/
파두,440110,+8.75%,111597,2270454,거래대금,111597,2,CXL(컴퓨트익스프레스링크),시스템반도체,,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-440110/
우리금융지주,316140,+6.47%,102363,2950430,거래대금,102363,2,밸류업(24년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-316140/
