종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,존재하는 테마9,차트링크
SK텔레콤,017670,+3.45%,110098,1425568,거래대금,110098,4,밸류업(24년 기업가치 제고계획 발표),스마트홈(홈네트워크),코리아 밸류업 지수(Korea Value-up Index),통신,,,,,,https://kr.tradingview.com/symbols/KRX-017670/
카카오,035720,-0.17%,475687,7881922,거래대금,475687,3,메타버스(Metaverse),인터넷은행,카카오뱅크(kakao BANK),,,,,,,https://kr.tradingview.com/symbols/KRX-035720/
SK스퀘어,402340,+7.14%,393301,698518,거래대금,393301,3,밸류업(24년 기업가치 제고계획 발표),밸류업(25년 기업가치 제고계획 발표),지주사,,,,,,,https://kr.tradingview.com/symbols/KRX-402340/
한화솔루션,009830,-0.94%,323791,6903775,거래대금,323791,3,석유화학,수소차(연료전지/부품/충전소 등),태양광에너지,,,,,,,https://kr.tradingview.com/symbols/KRX-009830/
미래에셋증권,006800,+4.09%,288145,5430727,거래대금,288145,3,밸류업(24년 기업가치 제고계획 발표),증권,코리아 밸류업 지수(Korea Value-up Index),,,,,,,https://kr.tradingview.com/symbols/KRX-006800/
에코프로머티,450080,+9.91%,179060,2582613,거래대금,179060,3,2차전지,2차전지(소재/부품),니켈,,,,,,,https://kr.tradingview.com/symbols/KRX-450080/
HD건설기계,267270,+6.15%,178431,1230684,거래대금,178431,3,건설기계,밸류업(24년 기업가치 제고계획 발표),우크라이나 재건,,,,,,,https://kr.tradingview.com/symbols/KRX-267270/
현대건설,000720,+0.70%,178406,1563753,거래대금,178406,3,2025 하반기 신규상장,밸류업(25년 기업가치 제고계획 발표),우크라이나 재건,,,,,,,https://kr.tradingview.com/symbols/KRX-000720/
삼성전기,009150,+3.23%,162910,511600,거래대금,162910,3,2차전지(전고체),아이폰,폴더블폰,,,,,,,https://kr.tradingview.com/symbols/KRX-009150/
현대로템,064350,+1.73%,130380,640539,거래대금,130380,3,방위산업/전쟁 및 테러,수소차(연료전지/부품/충전소 등),코리아 밸류업 지수(Korea Value-up Index),,,,,,,https://kr.tradingview.com/symbols/KRX-064350/
에코프로비엠,247540,+3.50%,117833,575581,거래대금,117833,3,2차전지,2차전지(나트륨이온),2차전지(소재/부품),,,,,,,https://kr.tradingview.com/symbols/KRX-247540/
HD현대,267250,+4.40%,111065,422298,거래대금,111065,3,밸류업(24년 기업가치 제고계획 발표),지주사,코리아 밸류업 지수(Korea Value-up Index),,,,,,,https://kr.tradingview.com/symbols/KRX-267250/
LG전자,066570,-5.08%,623174,5120437,거래대금,623174,2,밸류업(24년 기업가치 제고계획 발표),스마트홈(홈네트워크),,,,,,,,https://kr.tradingview.com/symbols/KRX-066570/
쎄트렉아이,099320,-1.16%,205459,1061510,거래대금,205459,2,드론(Drone),방위산업/전쟁 및 테러,,,,,,,,https://kr.tradingview.com/symbols/KRX-099320/
한국전력,015760,-1.48%,178386,2942579,거래대금,178386,2,태양광에너지,환율하락 수혜,,,,,,,,https://kr.tradingview.com/symbols/KRX-015760/
HD현대일렉트릭,267260,-2.91%,176187,181879,거래대금,176187,2,밸류업(24년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,https://kr.tradingview.com/symbols/KRX-267260/
한화생명,088350,+5.64%,171125,37371973,거래대금,171125,2,생명보험,인터넷은행,,,,,,,,https://kr.tradingview.com/symbols/KRX-088350/
덕양에너젠,000010,+9.32%,162154,5599506,거래대금,162154,2,2026 상반기 신규상장,수소차(연료전지/부품/충전소 등),,,,,,,,https://kr.tradingview.com/symbols/KRX-000010/
모비스,250060,+15.82%,125817,21235564,거래대금,125817,2,초전도체,핵융합에너지,,,,,,,,https://kr.tradingview.com/symbols/KRX-250060/
현대모비스,012330,0.00%,124685,281458,거래대금,124685,2,밸류업(24년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,https://kr.tradingview.com/symbols/KRX-012330/
삼양식품,003230,+4.55%,122863,101384,거래대금,122863,2,밸류업(25년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,https://kr.tradingview.com/symbols/KRX-003230/
대동기어,008830,+1.78%,120254,4432308,거래대금,120254,2,농업,우크라이나 재건,,,,,,,,https://kr.tradingview.com/symbols/KRX-008830/
현대지에프홀딩스,005440,+15.12%,106598,7796669,거래대금,106598,2,밸류업(24년 기업가치 제고계획 발표),지주사,,,,,,,,https://kr.tradingview.com/symbols/KRX-005440/
