종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,차트링크
대한전선,001440,+7.50%,390225,14056229,거래대금,390225,4,네옴시티,원자력발전,전력설비,전선,,,,,https://kr.tradingview.com/symbols/KRX-001440/
한화시스템,272210,-0.33%,324799,3518034,거래대금,324799,4,UAM(도심항공모빌리티),드론(Drone),방위산업/전쟁 및 테러,우주항공산업(누리호/인공위성 등),,,,,https://kr.tradingview.com/symbols/KRX-272210/
현대로템,064350,+1.63%,274764,1246791,거래대금,274764,4,GTX(수도권 광역급행철도),방위산업/전쟁 및 테러,우주항공산업(누리호/인공위성 등),철도,,,,,https://kr.tradingview.com/symbols/KRX-064350/
비에이치아이,083650,+4.58%,218944,3419629,거래대금,218944,4,LNG(액화천연가스),셰일가스(Shale Gas),원자력발전,원자력발전소 해체,,,,,https://kr.tradingview.com/symbols/KRX-083650/
SK텔레콤,017670,+5.07%,208224,3364804,거래대금,208224,4,5G(5세대 이동통신),UAM(도심항공모빌리티),양자암호/양자컴퓨팅,통신,,,,,https://kr.tradingview.com/symbols/KRX-017670/
LG에너지솔루션,373220,+1.13%,183995,455475,거래대금,183995,4,2차전지(나트륨이온),2차전지(생산),리튬,스페이스X(SpaceX),,,,,https://kr.tradingview.com/symbols/KRX-373220/
대우건설,047040,+11.31%,157695,31512410,거래대금,157695,4,GTX(수도권 광역급행철도),건설 대표주,수자원(양적/질적 개선),원자력발전,,,,,https://kr.tradingview.com/symbols/KRX-047040/
카카오페이,377300,+12.08%,136531,2584340,거래대금,136531,4,스테이블코인,전자결제(전자화폐),핀테크(FinTech),화폐/금융자동화기기(디지털화폐 등),,,,,https://kr.tradingview.com/symbols/KRX-377300/
삼성SDI,006400,+3.82%,705015,2148250,거래대금,705015,3,2차전지(나트륨이온),2차전지(생산),스마트폰,,,,,,https://kr.tradingview.com/symbols/KRX-006400/
보성파워텍,006910,+30.00%,407591,56265744,거래대금,407591,3,원자력발전,전기차(충전소/충전기),전력설비,,,,,,https://kr.tradingview.com/symbols/KRX-006910/
한전기술,052690,+8.55%,266369,1871604,거래대금,266369,3,원자력발전,원자력발전소 해체,풍력에너지,,,,,,https://kr.tradingview.com/symbols/KRX-052690/
그린광학,000150,+29.84%,234138,6955655,거래대금,234138,3,2025 하반기 신규상장,방위산업/전쟁 및 테러,우주항공산업(누리호/인공위성 등),,,,,,https://kr.tradingview.com/symbols/KRX-000150/
효성중공업,298040,-0.68%,138409,59460,거래대금,138409,3,원자력발전,전력설비,풍력에너지,,,,,,https://kr.tradingview.com/symbols/KRX-298040/
LS ELECTRIC,010120,-1.50%,119878,230567,거래대금,119878,3,원자력발전,전력설비,태양광에너지,,,,,,https://kr.tradingview.com/symbols/KRX-010120/
삼성전자,005930,-2.75%,3452063,23643276,거래대금,3452063,2,5G(5세대 이동통신),스마트폰,,,,,,,https://kr.tradingview.com/symbols/KRX-005930/
현대차,005380,-0.21%,2488061,5202898,거래대금,2488061,2,UAM(도심항공모빌리티),전기차(충전소/충전기),,,,,,,https://kr.tradingview.com/symbols/KRX-005380/
기아,000270,-3.30%,535976,3213797,거래대금,535976,2,방위산업/전쟁 및 테러,전기차(충전소/충전기),,,,,,,https://kr.tradingview.com/symbols/KRX-000270/
에코프로,086520,+3.47%,346966,3536949,거래대금,346966,2,2차전지(나트륨이온),리튬,,,,,,,https://kr.tradingview.com/symbols/KRX-086520/
나라스페이스테크놀로지,478340,+29.94%,286887,6832958,거래대금,286887,2,2025 하반기 신규상장,우주항공산업(누리호/인공위성 등),,,,,,,https://kr.tradingview.com/symbols/KRX-478340/
일진파워,094820,+29.96%,199596,12149070,거래대금,199596,2,원자력발전,핵융합에너지,,,,,,,https://kr.tradingview.com/symbols/KRX-094820/
우진,105840,+13.26%,146054,5983690,거래대금,146054,2,원자력발전,원자력발전소 해체,,,,,,,https://kr.tradingview.com/symbols/KRX-105840/
KB금융,105560,+2.78%,144132,1082087,거래대금,144132,2,STO(토큰증권 발행),은행,,,,,,,https://kr.tradingview.com/symbols/KRX-105560/
AP위성,211270,+15.64%,142356,8104844,거래대금,142356,2,우주항공산업(누리호/인공위성 등),통신장비,,,,,,,https://kr.tradingview.com/symbols/KRX-211270/
신한지주,055550,+2.76%,138588,1702987,거래대금,138588,2,STO(토큰증권 발행),은행,,,,,,,https://kr.tradingview.com/symbols/KRX-055550/
이수페타시스,007660,-2.85%,133932,1194037,거래대금,133932,2,5G(5세대 이동통신),우주항공산업(누리호/인공위성 등),,,,,,,https://kr.tradingview.com/symbols/KRX-007660/
에이치브이엠,295310,+16.93%,123426,1409031,거래대금,123426,2,스페이스X(SpaceX),우주항공산업(누리호/인공위성 등),,,,,,,https://kr.tradingview.com/symbols/KRX-295310/
