종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액,수급일자,기관순매수,외국인순매수
엠에스오토텍 *,2140.0,-4.68%,317211.0,691.0,253712.0,123040,https://kr.tradingview.com/symbols/KRX-123040/,"1,340억",2026.02.02,-11025,-19082
경창산업 *,2080.0,-4.81%,634247.0,1345.0,1500939.0,024910,https://kr.tradingview.com/symbols/KRX-024910/,745억,2026.02.02,0,104483
성우 *,13200.0,-5.04%,490120.0,6740.0,1452191.0,458650,https://kr.tradingview.com/symbols/KRX-458650/,"1,986억",2026.02.02,-8786,23703
일진하이솔루스,13480.0,-5.07%,78654.0,1074.0,54287.0,271940,https://kr.tradingview.com/symbols/KRX-271940/,"4,895억",2026.02.02,-10161,-23820
한국무브넥스,5490.0,-5.18%,820740.0,4607.0,961486.0,010100,https://kr.tradingview.com/symbols/KRX-010100/,"1,672억",2026.02.02,7981,122205
KBI메탈 *,1670.0,-5.28%,638141.0,1085.0,840671.0,024840,https://kr.tradingview.com/symbols/KRX-024840/,583억,2026.02.02,0,-257428
한주라이트메탈 *,718.0,-5.40%,285628.0,209.0,276025.0,198940,https://kr.tradingview.com/symbols/KRX-198940/,279억,2026.02.02,0,-7342
이원컴포텍 *,708.0,-5.47%,147380.0,107.0,141421.0,088290,https://kr.tradingview.com/symbols/KRX-088290/,282억,2026.02.02,0,19391
에스텍 *,14620.0,-5.49%,22455.0,336.0,53887.0,069510,https://kr.tradingview.com/symbols/KRX-069510/,"1,595억",2026.02.02,-328,-5696
디아이씨,10560.0,-5.80%,1402974.0,15290.0,1468480.0,092200,https://kr.tradingview.com/symbols/KRX-092200/,"4,107억",2026.02.02,25009,-185378
에코볼트 *,784.0,-5.88%,351778.0,282.0,52571.0,097780,https://kr.tradingview.com/symbols/KRX-097780/,531억,2026.02.02,199,4661
엣지파운드리 *,1500.0,-5.96%,688509.0,1058.0,686959.0,105550,https://kr.tradingview.com/symbols/KRX-105550/,"1,175억",2026.02.02,0,166736
BGF에코머티리얼즈 *,3965.0,-6.04%,170457.0,689.0,241807.0,126600,https://kr.tradingview.com/symbols/KRX-126600/,"2,489억",2026.02.02,0,-58112
