종목명,종목코드,시가총액,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,존재하는 테마9,존재하는 테마10,존재하는 테마11,존재하는 테마12,존재하는 테마13,존재하는 테마14,존재하는 테마15,차트링크
에스티팜,237690,,+16.24%,183367,1348076,거래대금,183367,3,mRNA(메신저 리보핵산),모더나(MODERNA),제약업체,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-237690/
스피어,347700,,+11.95%,173008,7843241,거래대금,173008,3,스페이스X(SpaceX),원격진료/비대면진료(U-Healthcare),의료AI,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-347700/
카카오뱅크,323410,,+9.81%,160453,7001815,거래대금,160453,3,은행,인터넷은행,카카오뱅크(kakao BANK),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-323410/
미래에셋증권,006800,,+16.58%,805588,23962787,거래대금,805588,2,스페이스X(SpaceX),증권,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-006800/
LG씨엔에스,064400,,+8.38%,409396,5585870,거래대금,409396,2,스테이블코인,클라우드 컴퓨팅,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-064400/
에이비엘바이오,298380,,+10.24%,327816,1714340,거래대금,327816,2,면역항암제,치매,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-298380/
SK스퀘어,402340,,-0.22%,141680,320104,거래대금,141680,2,RFID(NFC 등),모바일콘텐츠(스마트폰/태블릿PC),,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-402340/
신한지주,055550,,+1.21%,137406,1652599,거래대금,137406,2,STO(토큰증권 발행),은행,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-055550/
알지노믹스,476830,,+9.12%,107623,729972,거래대금,107623,2,유전자 치료제/분석,치매,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-476830/
삼성바이오로직스,207940,,+1.35%,107095,59529,거래대금,107095,2,모더나(MODERNA),제약업체,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-207940/
