종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,차트링크
한전기술,052690,+12.19%,328414,2216219,거래대금,328414,4,밸류업(24년 기업가치 제고계획 발표),원자력발전,원자력발전소 해체,풍력에너지,,,,https://kr.tradingview.com/symbols/KRX-052690/
현대건설,000720,+4.05%,231006,2061889,거래대금,231006,4,건설 대표주,원자력발전,원자력발전소 해체,풍력에너지,,,,https://kr.tradingview.com/symbols/KRX-000720/
대성산업,128820,+29.94%,213468,20619874,거래대금,213468,4,LPG(액화석유가스),부동산 보유 자산주,서울고속버스터미널 재개발 수혜,자원개발,,,,https://kr.tradingview.com/symbols/KRX-128820/
한전산업,130660,+20.51%,173486,10482977,거래대금,173486,4,스마트그리드(지능형전력망),원자력발전,전력설비,전력저장장치(ESS),,,,https://kr.tradingview.com/symbols/KRX-130660/
LG전자,066570,+2.49%,141619,1383120,거래대금,141619,4,OLED(유기 발광 다이오드),밸류업(24년 기업가치 제고계획 발표),스마트홈(홈네트워크),전력저장장치(ESS),,,,https://kr.tradingview.com/symbols/KRX-066570/
LG화학,051910,+3.75%,110924,351475,거래대금,110924,4,2차전지(소재/부품),OLED(유기 발광 다이오드),밸류업(24년 기업가치 제고계획 발표),석유화학,,,,https://kr.tradingview.com/symbols/KRX-051910/
고려아연,010130,+6.59%,102278,56308,거래대금,102278,4,2차전지(소재/부품),귀금속(금/은),밸류업(24년 기업가치 제고계획 발표),환율하락 수혜,,,,https://kr.tradingview.com/symbols/KRX-010130/
현대차,005380,+2.54%,863521,1706505,거래대금,863521,3,밸류업(24년 기업가치 제고계획 발표),수소차(연료전지/부품/충전소 등),자동차 대표주,,,,,https://kr.tradingview.com/symbols/KRX-005380/
대한전선,001440,+8.77%,434469,13240835,거래대금,434469,3,원자력발전,전력설비,전선,,,,,https://kr.tradingview.com/symbols/KRX-001440/
우리기술,032820,+3.38%,265195,27687687,거래대금,265195,3,원자력발전,원자력발전소 해체,풍력에너지,,,,,https://kr.tradingview.com/symbols/KRX-032820/
기아,000270,+1.82%,210084,1345301,거래대금,210084,3,밸류업(24년 기업가치 제고계획 발표),수소차(연료전지/부품/충전소 등),자동차 대표주,,,,,https://kr.tradingview.com/symbols/KRX-000270/
KB금융,105560,+2.38%,203422,1429897,거래대금,203422,3,밸류업(24년 기업가치 제고계획 발표),은행,지주사,,,,,https://kr.tradingview.com/symbols/KRX-105560/
신한지주,055550,+2.61%,161508,1783024,거래대금,161508,3,밸류업(24년 기업가치 제고계획 발표),은행,지주사,,,,,https://kr.tradingview.com/symbols/KRX-055550/
SK텔레콤,017670,+5.84%,156846,2024674,거래대금,156846,3,밸류업(24년 기업가치 제고계획 발표),스마트홈(홈네트워크),통신,,,,,https://kr.tradingview.com/symbols/KRX-017670/
KCTC,009070,+16.13%,138783,17663883,거래대금,138783,3,부동산 보유 자산주,종합 물류,쿠팡(coupang),,,,,https://kr.tradingview.com/symbols/KRX-009070/
HD현대일렉트릭,267260,+3.94%,133529,146082,거래대금,133529,3,밸류업(24년 기업가치 제고계획 발표),전력설비,전력저장장치(ESS),,,,,https://kr.tradingview.com/symbols/KRX-267260/
포스코인터내셔널,047050,+4.75%,121829,1780093,거래대금,121829,3,밸류업(24년 기업가치 제고계획 발표),셰일가스(Shale Gas),자원개발,,,,,https://kr.tradingview.com/symbols/KRX-047050/
SK하이닉스,000660,-0.77%,3349872,3744397,거래대금,3349872,2,CXL(컴퓨트익스프레스링크),밸류업(24년 기업가치 제고계획 발표),,,,,,https://kr.tradingview.com/symbols/KRX-000660/
SK스퀘어,402340,+4.21%,465086,825682,거래대금,465086,2,밸류업(24년 기업가치 제고계획 발표),지주사,,,,,,https://kr.tradingview.com/symbols/KRX-402340/
에코프로비엠,247540,+1.60%,241130,1082535,거래대금,241130,2,2차전지(나트륨이온),2차전지(소재/부품),,,,,,https://kr.tradingview.com/symbols/KRX-247540/
미래에셋벤처투자,100790,+13.12%,210508,8190423,거래대금,210508,2,마켓컬리(kurly),창투사,,,,,,https://kr.tradingview.com/symbols/KRX-100790/
카카오뱅크,323410,+8.23%,208405,8353373,거래대금,208405,2,밸류업(24년 기업가치 제고계획 발표),은행,,,,,,https://kr.tradingview.com/symbols/KRX-323410/
OCI홀딩스,010060,+28.05%,182311,1296454,거래대금,182311,2,지주사,태양광에너지,,,,,,https://kr.tradingview.com/symbols/KRX-010060/
동양고속,084670,+19.90%,181600,2666587,거래대금,181600,2,부동산 보유 자산주,서울고속버스터미널 재개발 수혜,,,,,,https://kr.tradingview.com/symbols/KRX-084670/
한화갤러리아,452260,+11.47%,156656,67823503,거래대금,156656,2,백화점,소매유통,,,,,,https://kr.tradingview.com/symbols/KRX-452260/
한온시스템,018880,+9.88%,152293,40745491,거래대금,152293,2,수소차(연료전지/부품/충전소 등),자동차 대표주,,,,,,https://kr.tradingview.com/symbols/KRX-018880/
하림지주,003380,+29.95%,145260,7878231,거래대금,145260,2,부동산 보유 자산주,지주사,,,,,,https://kr.tradingview.com/symbols/KRX-003380/
포스코퓨처엠,003670,+2.65%,129229,561216,거래대금,129229,2,2차전지(소재/부품),밸류업(24년 기업가치 제고계획 발표),,,,,,https://kr.tradingview.com/symbols/KRX-003670/
현대모비스,012330,+0.90%,128231,287368,거래대금,128231,2,밸류업(24년 기업가치 제고계획 발표),자동차 대표주,,,,,,https://kr.tradingview.com/symbols/KRX-012330/
HD현대에너지솔루션,322000,+29.83%,115309,1773812,거래대금,115309,2,전력저장장치(ESS),태양광에너지,,,,,,https://kr.tradingview.com/symbols/KRX-322000/
롯데에너지머티리얼즈,020150,+13.83%,102393,2184089,거래대금,102393,2,2차전지(소재/부품),2차전지(전고체),,,,,,https://kr.tradingview.com/symbols/KRX-020150/
