종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,존재하는 테마9,존재하는 테마10,존재하는 테마11,존재하는 테마12,존재하는 테마13,존재하는 테마14,차트링크
고영,098460,+9.52%,274687,8871210,거래대금,274687,5,HBM(고대역폭메모리),반도체 장비,스마트팩토리(스마트공장),시스템반도체,지능형로봇/인공지능(AI),,,,,,,,,,https://kr.tradingview.com/symbols/KRX-098460/
POSCO홀딩스,005490,-0.82%,271698,745027,거래대금,271698,5,2차전지,2차전지(소재/부품),리튬,폐배터리,희귀금속(희토류 등),,,,,,,,,,https://kr.tradingview.com/symbols/KRX-005490/
헥토파이낸셜,234340,+23.08%,246190,10388033,거래대금,246190,5,STO(토큰증권 발행),스테이블코인,전자결제(전자화폐),쿠팡(coupang),핀테크(FinTech),,,,,,,,,,https://kr.tradingview.com/symbols/KRX-234340/
NHN KCP,060250,+10.60%,191801,9672305,거래대금,191801,5,삼성페이,스테이블코인,애플페이,전자결제(전자화폐),핀테크(FinTech),,,,,,,,,,https://kr.tradingview.com/symbols/KRX-060250/
두산,000150,-5.92%,147957,1214253,거래대금,147957,5,OLED(유기 발광 다이오드),로봇(산업용/협동로봇 등),반도체 장비,반도체 재료/부품,방위산업/전쟁 및 테러,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000150/
씨아이에스,222080,+16.23%,141276,13074868,거래대금,141276,5,2차전지,2차전지(LFP/리튬인산철),2차전지(장비),2차전지(전고체),전력저장장치(ESS),,,,,,,,,,https://kr.tradingview.com/symbols/KRX-222080/
고려아연,010130,+14.37%,280691,158349,거래대금,280691,4,2차전지,2차전지(소재/부품),비철금속,희귀금속(희토류 등),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-010130/
펩트론,087010,+10.24%,166313,612380,거래대금,166313,4,비만치료제,치매,코로나19(진단/치료제/백신 개발 등),코로나19(치료제/백신 개발 등),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-087010/
LG전자,066570,-2.94%,147983,1442337,거래대금,147983,4,LED,OLED(유기 발광 다이오드),전력저장장치(ESS),지능형로봇/인공지능(AI),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-066570/
휴림로봇,090710,-3.01%,2260492,152808075,거래대금,2260492,3,로봇(산업용/협동로봇 등),스마트팩토리(스마트공장),지능형로봇/인공지능(AI),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-090710/
에코프로비엠,247540,+19.91%,838914,4265569,거래대금,838914,3,2차전지,2차전지(나트륨이온),2차전지(소재/부품),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-247540/
카카오페이,377300,+4.57%,562443,7821328,거래대금,562443,3,스테이블코인,전자결제(전자화폐),핀테크(FinTech),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-377300/
삼천당제약,000250,+8.75%,283589,734137,거래대금,283589,3,바이오시밀러(복제 바이오의약품),비만치료제,제약업체,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000250/
레이크머티리얼즈,281740,+21.43%,234467,9774390,거래대금,234467,3,2차전지(전고체),LED,반도체 재료/부품,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-281740/
포스코퓨처엠,003670,+6.78%,229205,1023248,거래대금,229205,3,2차전지,2차전지(소재/부품),리튬,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-003670/
리노공업,058470,+9.61%,147444,1993462,거래대금,147444,3,반도체 장비,시스템반도체,온디바이스 AI,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-058470/
원익IPS,240810,+11.23%,136481,1655517,거래대금,136481,3,3D 낸드(NAND),OLED(유기 발광 다이오드),반도체 장비,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-240810/
한미반도체,042700,-0.94%,127469,752270,거래대금,127469,3,HBM(고대역폭메모리),반도체 장비,시스템반도체,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-042700/
한농화성,011500,+6.20%,122001,4721002,거래대금,122001,3,2차전지,2차전지(소재/부품),2차전지(전고체),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-011500/
에이비엘바이오,298380,+21.72%,878273,3803988,거래대금,878273,2,면역항암제,치매,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-298380/
현대무벡스,319400,-5.96%,596848,18314370,거래대금,596848,2,로봇(산업용/협동로봇 등),스마트팩토리(스마트공장),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-319400/
로보티즈,108490,+12.88%,528384,1886879,거래대금,528384,2,로봇(산업용/협동로봇 등),지능형로봇/인공지능(AI),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-108490/
에스피지,058610,+15.50%,417096,3523622,거래대금,417096,2,로봇(산업용/협동로봇 등),전기자전거,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-058610/
파마리서치,214450,+5.81%,187608,372037,거래대금,187608,2,미용기기,의료기기,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-214450/
한화에어로스페이스,012450,+0.56%,160197,125974,거래대금,160197,2,방위산업/전쟁 및 테러,지능형로봇/인공지능(AI),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-012450/
유진로봇,056080,+11.95%,156017,5155833,거래대금,156017,2,사물인터넷,지능형로봇/인공지능(AI),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-056080/
LG씨엔에스,064400,-2.71%,150370,2078576,거래대금,150370,2,스마트팩토리(스마트공장),스테이블코인,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-064400/
올릭스,226950,+15.62%,131366,921139,거래대금,131366,2,비만치료제,탈모 치료,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-226950/
클로봇,466100,+6.43%,116947,1659014,거래대금,116947,2,로봇(산업용/협동로봇 등),지능형로봇/인공지능(AI),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-466100/
알지노믹스,476830,+4.58%,107231,690098,거래대금,107231,2,유전자 치료제/분석,치매,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-476830/
이수스페셜티케미컬,457190,+2.59%,106719,1067520,거래대금,106719,2,2차전지,2차전지(전고체),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-457190/
