종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,존재하는 테마9,존재하는 테마10,존재하는 테마11,존재하는 테마12,존재하는 테마13,존재하는 테마14,존재하는 테마15,존재하는 테마16,차트링크
HL만도,204320,+12.26%,472872,6796873,거래대금,472872,6,로봇(산업용/협동로봇 등),스마트카(SMART CAR),자동차 대표주,자동차부품,자율주행차,전기차,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-204320/
두산,000150,-3.85%,453584,12033835,거래대금,453584,6,OLED(유기 발광 다이오드),로봇(산업용/협동로봇 등),반도체 장비,반도체 재료/부품,방위산업/전쟁 및 테러,우주항공산업(누리호/인공위성 등),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000150/
한국항공우주,047810,-0.91%,152681,939528,거래대금,152681,6,UAM(도심항공모빌리티),드론(Drone),방위산업/전쟁 및 테러,밸류업(25년 기업가치 제고계획 발표),우주항공산업(누리호/인공위성 등),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-047810/
스맥,099440,+10.60%,149179,20424620,거래대금,149179,6,3D 프린터,공작기계,로봇(산업용/협동로봇 등),스마트그리드(지능형전력망),스마트팩토리(스마트공장),지능형로봇/인공지능(AI),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-099440/
휴림로봇,090710,+29.13%,1309003,67518302,거래대금,1309003,5,3D 프린터,4차산업 수혜주,로봇(산업용/협동로봇 등),스마트팩토리(스마트공장),지능형로봇/인공지능(AI),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-090710/
에스피지,058610,+4.14%,215291,1961271,거래대금,215291,5,공기청정기,로봇(산업용/협동로봇 등),전기자전거,제습기,철도,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-058610/
현대로템,064350,-1.37%,153425,718595,거래대금,153425,5,방위산업/전쟁 및 테러,수소차(연료전지/부품/충전소 등),우주항공산업(누리호/인공위성 등),철도,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-064350/
현대건설,000720,+0.84%,203321,1896790,거래대금,203321,4,UAM(도심항공모빌리티),기업인수목적회사(SPAC),밸류업(25년 기업가치 제고계획 발표),원자력발전소 해체,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000720/
이수페타시스,007660,-4.89%,169250,1599446,거래대금,169250,4,5G(5세대 이동통신),PCB(FPCB 등),밸류업(25년 기업가치 제고계획 발표),우주항공산업(누리호/인공위성 등),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-007660/
현대위아,011210,+7.21%,109961,1197313,거래대금,109961,4,방위산업/전쟁 및 테러,자동차 대표주,자동차부품,전기차,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-011210/
모비스,250060,+28.30%,106414,15602972,거래대금,106414,4,4차산업 수혜주,지능형로봇/인공지능(AI),초전도체,핵융합에너지,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-250060/
우리기술,032820,+7.02%,727435,80207744,거래대금,727435,3,방위산업/전쟁 및 테러,원자력발전소 해체,철도,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-032820/
현대무벡스,319400,+19.00%,607937,13750342,거래대금,607937,3,SI(시스템통합),로봇(산업용/협동로봇 등),스마트팩토리(스마트공장),,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-319400/
유진로봇,056080,+8.92%,450035,12948170,거래대금,450035,3,사물인터넷,자율주행차,지능형로봇/인공지능(AI),,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-056080/
삼성SDI,006400,-0.61%,352883,1109366,거래대금,352883,3,IT 대표주,전기자전거,전기차,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-006400/
NAVER,035420,-2.25%,244691,1021992,거래대금,244691,3,4차산업 수혜주,자율주행차,클라우드 컴퓨팅,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-035420/
로보로보,215100,+29.91%,205192,18615877,거래대금,205192,3,4차산업 수혜주,교육/온라인 교육,지능형로봇/인공지능(AI),,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-215100/
한미반도체,042700,+0.06%,171733,1012880,거래대금,171733,3,반도체 장비,밸류업(25년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-042700/
삼성전기,009150,-0.71%,161977,581814,거래대금,161977,3,PCB(FPCB 등),자율주행차,카메라모듈/부품,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-009150/
고영,098460,-2.84%,147675,5023662,거래대금,147675,3,반도체 장비,스마트팩토리(스마트공장),지능형로봇/인공지능(AI),,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-098460/
포스코인터내셔널,047050,-1.42%,139067,2226507,거래대금,139067,3,밸류업(24년 기업가치 제고계획 발표),종합상사,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-047050/
KB금융,105560,+2.78%,135066,1006244,거래대금,135066,3,밸류업(24년 기업가치 제고계획 발표),은행,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-105560/
미래에셋증권,006800,-3.09%,118805,4004345,거래대금,118805,3,밸류업(24년 기업가치 제고계획 발표),스페이스X(SpaceX),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-006800/
LG에너지솔루션,373220,-2.11%,110357,280563,거래대금,110357,3,밸류업(24년 기업가치 제고계획 발표),스페이스X(SpaceX),전기차,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-373220/
LG씨엔에스,064400,+1.00%,106546,1531117,거래대금,106546,3,SI(시스템통합),스마트팩토리(스마트공장),클라우드 컴퓨팅,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-064400/
두산에너빌리티,034020,-4.20%,726255,7921343,거래대금,726255,2,원자력발전소 해체,핵융합에너지,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-034020/
삼성스팩13호,001150,+260.00%,493017,81008509,거래대금,493017,2,2026 상반기 신규상장,기업인수목적회사(SPAC),,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-001150/
현대오토에버,307950,+3.97%,335134,700873,거래대금,335134,2,SI(시스템통합),자율주행차,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-307950/
현대글로비스,086280,+0.96%,281921,1088943,거래대금,281921,2,밸류업(24년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-086280/
POSCO홀딩스,005490,-1.82%,240511,690004,거래대금,240511,2,밸류업(24년 기업가치 제고계획 발표),철강 주요종목,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-005490/
큐렉소,060280,+14.27%,187336,11295874,거래대금,187336,2,4차산업 수혜주,지능형로봇/인공지능(AI),,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-060280/
클로봇,466100,-0.68%,181887,2461682,거래대금,181887,2,로봇(산업용/협동로봇 등),지능형로봇/인공지능(AI),,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-466100/
SK스퀘어,402340,+0.70%,174044,405674,거래대금,174044,2,밸류업(24년 기업가치 제고계획 발표),밸류업(25년 기업가치 제고계획 발표),,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-402340/
테크윙,089030,-16.26%,149781,3693805,거래대금,149781,2,3D 낸드(NAND),반도체 장비,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-089030/
하이젠알앤엠,160190,+11.98%,141336,1981343,거래대금,141336,2,로봇(산업용/협동로봇 등),전기차,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-160190/
효성중공업,298040,-1.07%,109129,47114,거래대금,109129,2,수소차(연료전지/부품/충전소 등),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-298040/
로보티즈,108490,-2.10%,109030,423906,거래대금,109030,2,로봇(산업용/협동로봇 등),지능형로봇/인공지능(AI),,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-108490/
HD현대일렉트릭,267260,-2.30%,108971,121632,거래대금,108971,2,밸류업(24년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-267260/
에스엘,005850,+29.86%,108888,1843802,거래대금,108888,2,로봇(산업용/협동로봇 등),자동차부품,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-005850/
원익홀딩스,030530,-3.15%,100039,2386481,거래대금,100039,2,로봇(산업용/협동로봇 등),반도체 장비,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-030530/
