종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,존재하는 테마9,존재하는 테마10,존재하는 테마11,존재하는 테마12,존재하는 테마13,존재하는 테마14,존재하는 테마15,존재하는 테마16,존재하는 테마17,존재하는 테마18,존재하는 테마19,존재하는 테마20,차트링크
HD현대일렉트릭,267260,+0.11%,184368,203258,거래대금,184368,2,전력저장장치(ESS),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-267260/
네오셈,253590,+29.94%,180149,11739297,거래대금,180149,2,CXL(컴퓨트익스프레스링크),반도체 장비,,,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-253590/
KG모빌리티,003620,+10.71%,170498,39356089,거래대금,170498,2,자동차 대표주,전기차,,,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-003620/
현대건설,000720,-0.19%,141226,1341860,거래대금,141226,2,건설 대표주,밸류업(25년 기업가치 제고계획 발표),,,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000720/
클로봇,466100,+2.94%,134056,1799391,거래대금,134056,2,로봇(산업용/협동로봇 등),지능형로봇/인공지능(AI),,,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-466100/
현대바이오,048410,+14.67%,127203,13411374,거래대금,127203,2,엠폭스(원숭이두창),코로나19(치료제/백신 개발 등),,,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-048410/
MDS테크,086960,+6.23%,127024,77783985,거래대금,127024,2,4차산업 수혜주,스마트팩토리(스마트공장),,,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-086960/
하이젠알앤엠,160190,+12.33%,126883,1477555,거래대금,126883,2,로봇(산업용/협동로봇 등),전기차,,,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-160190/
모베이스전자,012860,+8.01%,126775,28395128,거래대금,126775,2,리비안(RIVIAN),전기차,,,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-012860/
신한지주,055550,-2.67%,117247,1383211,거래대금,117247,2,밸류업(25년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-055550/
테스,095610,+19.93%,112957,1751298,거래대금,112957,2,3D 낸드(NAND),반도체 장비,,,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-095610/
지투지바이오,456160,+5.99%,109682,1300316,거래대금,109682,2,비만치료제,치매,,,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-456160/
엘앤씨바이오,290650,+9.68%,103617,1407231,거래대금,103617,2,밸류업(25년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-290650/
