종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,존재하는 테마9,존재하는 테마10,존재하는 테마11,존재하는 테마12,존재하는 테마13,차트링크
대우건설,047040,+5.95%,166791,22559799,거래대금,166791,4,GTX(수도권 광역급행철도),건설 대표주,수자원(양적/질적 개선),원자력발전,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-047040/
효성중공업,298040,+2.30%,112479,46684,거래대금,112479,4,원자력발전,전력설비,전력저장장치(ESS),풍력에너지,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-298040/
SK하이닉스,000660,-1.83%,2690922,3117064,거래대금,2690922,3,IT 대표주,밸류업(24년 기업가치 제고계획 발표),자율주행차,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000660/
보성파워텍,006910,+12.38%,528882,56743371,거래대금,528882,3,원자력발전,전기차(충전소/충전기),전력설비,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-006910/
KB금융,105560,+5.79%,317645,1962325,거래대금,317645,3,밸류업(24년 기업가치 제고계획 발표),은행,인터넷은행,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-105560/
HD현대일렉트릭,267260,+5.96%,219039,222963,거래대금,219039,3,밸류업(24년 기업가치 제고계획 발표),전력설비,전력저장장치(ESS),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-267260/
HD건설기계,267270,+4.92%,166224,1197601,거래대금,166224,3,건설기계,밸류업(24년 기업가치 제고계획 발표),우크라이나 재건,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-267270/
POSCO홀딩스,005490,+0.27%,148037,399686,거래대금,148037,3,모듈러주택,밸류업(24년 기업가치 제고계획 발표),풍력에너지,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-005490/
우리금융지주,316140,+6.32%,145288,3883234,거래대금,145288,3,밸류업(24년 기업가치 제고계획 발표),밸류업(26년 기업가치 제고계획 발표),은행,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-316140/
삼성SDI,006400,-1.05%,139111,367852,거래대금,139111,3,IT 대표주,전기차,전력저장장치(ESS),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-006400/
현대글로비스,086280,+4.93%,115182,453905,거래대금,115182,3,밸류업(24년 기업가치 제고계획 발표),종합 물류,피지컬 AI/휴머노이드 로봇,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-086280/
이마트,139480,+8.50%,285763,2278640,거래대금,285763,2,소매유통,편의점,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-139480/
한화에어로스페이스,012450,-1.40%,271970,239010,거래대금,271970,2,냉각시스템(액침냉각 등),방위산업/전쟁 및 테러,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-012450/
아크릴,000070,+28.64%,236557,4638300,거래대금,236557,2,2025 하반기 신규상장,피지컬 AI/휴머노이드 로봇,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000070/
한온시스템,018880,+2.74%,223433,48147508,거래대금,223433,2,자동차 대표주,전기차,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-018880/
포바이포,389140,+11.04%,195869,18621448,거래대금,195869,2,영상콘텐츠,영화,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-389140/
신한지주,055550,+3.06%,165130,1648821,거래대금,165130,2,밸류업(24년 기업가치 제고계획 발표),은행,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-055550/
하나금융지주,086790,+2.95%,159188,1263932,거래대금,159188,2,밸류업(24년 기업가치 제고계획 발표),은행,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-086790/
삼성전기,009150,-1.28%,132767,431329,거래대금,132767,2,MLCC(적층세라믹콘덴서),자율주행차,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-009150/
한화오션,042660,-0.92%,130183,999891,거래대금,130183,2,방위산업/전쟁 및 테러,조선,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-042660/
