종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,존재하는 테마9,차트링크
현대차,005380,+7.21%,2776866,5421294,거래대금,2776866,5,UAM(도심항공모빌리티),밸류업(24년 기업가치 제고계획 발표),자동차 대표주,전기차,코리아 밸류업 지수(Korea Value-up Index),,,,,https://kr.tradingview.com/symbols/KRX-005380/
기아,000270,+3.47%,370757,2421360,거래대금,370757,5,방위산업/전쟁 및 테러,밸류업(24년 기업가치 제고계획 발표),자동차 대표주,전기차,코리아 밸류업 지수(Korea Value-up Index),,,,,https://kr.tradingview.com/symbols/KRX-000270/
POSCO홀딩스,005490,-3.70%,365859,1000280,거래대금,365859,5,2차전지,2차전지(소재/부품),밸류업(24년 기업가치 제고계획 발표),풍력에너지,희귀금속(희토류 등),,,,,https://kr.tradingview.com/symbols/KRX-005490/
고려아연,010130,+8.77%,217124,113383,거래대금,217124,5,2차전지,2차전지(소재/부품),밸류업(24년 기업가치 제고계획 발표),비철금속,희귀금속(희토류 등),,,,,https://kr.tradingview.com/symbols/KRX-010130/
카카오,035720,0.00%,197050,3194527,거래대금,197050,5,NFT(대체불가토큰),UAM(도심항공모빌리티),가상화폐(비트코인 등),두나무(Dunamu),핀테크(FinTech),,,,,https://kr.tradingview.com/symbols/KRX-035720/
현대건설,000720,+2.84%,170424,1575883,거래대금,170424,5,UAM(도심항공모빌리티),밸류업(25년 기업가치 제고계획 발표),원자력발전,원자력발전소 해체,풍력에너지,,,,,https://kr.tradingview.com/symbols/KRX-000720/
한전기술,052690,+3.66%,131334,942105,거래대금,131334,5,밸류업(24년 기업가치 제고계획 발표),원자력발전,원자력발전소 해체,코리아 밸류업 지수(Korea Value-up Index),풍력에너지,,,,,https://kr.tradingview.com/symbols/KRX-052690/
SK텔레콤,017670,+0.72%,120048,1745150,거래대금,120048,5,5G(5세대 이동통신),UAM(도심항공모빌리티),밸류업(24년 기업가치 제고계획 발표),양자암호/양자컴퓨팅,코리아 밸류업 지수(Korea Value-up Index),,,,,https://kr.tradingview.com/symbols/KRX-017670/
SK하이닉스,000660,+2.38%,5601371,6544372,거래대금,5601371,4,3D 낸드(NAND),밸류업(24년 기업가치 제고계획 발표),시스템반도체,코리아 밸류업 지수(Korea Value-up Index),,,,,,https://kr.tradingview.com/symbols/KRX-000660/
한미반도체,042700,+11.81%,1436267,7158595,거래대금,1436267,4,반도체 장비,밸류업(25년 기업가치 제고계획 발표),시스템반도체,코리아 밸류업 지수(Korea Value-up Index),,,,,,https://kr.tradingview.com/symbols/KRX-042700/
미래에셋증권,006800,+17.39%,756532,19734638,거래대금,756532,4,밸류업(24년 기업가치 제고계획 발표),스페이스X(SpaceX),증권,코리아 밸류업 지수(Korea Value-up Index),,,,,,https://kr.tradingview.com/symbols/KRX-006800/
삼성SDI,006400,-2.14%,508398,1316854,거래대금,508398,4,2차전지,2차전지(나트륨이온),전기차,전력저장장치(ESS),,,,,,https://kr.tradingview.com/symbols/KRX-006400/
현대모비스,012330,+2.24%,307292,676367,거래대금,307292,4,밸류업(24년 기업가치 제고계획 발표),자동차 대표주,전기차,코리아 밸류업 지수(Korea Value-up Index),,,,,,https://kr.tradingview.com/symbols/KRX-012330/
효성중공업,298040,+1.11%,193952,77104,거래대금,193952,4,원자력발전,전력저장장치(ESS),코리아 밸류업 지수(Korea Value-up Index),풍력에너지,,,,,,https://kr.tradingview.com/symbols/KRX-298040/
비에이치아이,083650,+8.67%,166522,2140874,거래대금,166522,4,고체산화물 연료전지(SOFC),셰일가스(Shale Gas),원자력발전,원자력발전소 해체,,,,,,https://kr.tradingview.com/symbols/KRX-083650/
우리기술,032820,+3.09%,156632,17670308,거래대금,156632,4,방위산업/전쟁 및 테러,원자력발전,원자력발전소 해체,풍력에너지,,,,,,https://kr.tradingview.com/symbols/KRX-032820/
LG전자,066570,+1.00%,146757,1476072,거래대금,146757,4,5G(5세대 이동통신),밸류업(24년 기업가치 제고계획 발표),전기차,전력저장장치(ESS),,,,,,https://kr.tradingview.com/symbols/KRX-066570/
NHN KCP,060250,+10.00%,143994,6214830,거래대금,143994,4,스테이블코인,애플페이,전자결제(전자화폐),핀테크(FinTech),,,,,,https://kr.tradingview.com/symbols/KRX-060250/
LS ELECTRIC,010120,-2.62%,131000,236435,거래대금,131000,4,원자력발전,전기차,전력저장장치(ESS),코리아 밸류업 지수(Korea Value-up Index),,,,,,https://kr.tradingview.com/symbols/KRX-010120/
신한지주,055550,+1.55%,114144,1345413,거래대금,114144,4,STO(토큰증권 발행),밸류업(24년 기업가치 제고계획 발표),밸류업(25년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,https://kr.tradingview.com/symbols/KRX-055550/
키움증권,039490,+7.85%,112506,269676,거래대금,112506,4,STO(토큰증권 발행),밸류업(24년 기업가치 제고계획 발표),증권,코리아 밸류업 지수(Korea Value-up Index),,,,,,https://kr.tradingview.com/symbols/KRX-039490/
에코프로,086520,+2.02%,1695682,9931828,거래대금,1695682,3,2차전지,2차전지(나트륨이온),2차전지(소재/부품),,,,,,,https://kr.tradingview.com/symbols/KRX-086520/
에코프로비엠,247540,+7.42%,822174,3367052,거래대금,822174,3,2차전지,2차전지(나트륨이온),2차전지(소재/부품),,,,,,,https://kr.tradingview.com/symbols/KRX-247540/
이수페타시스,007660,-5.98%,324325,2733039,거래대금,324325,3,5G(5세대 이동통신),밸류업(25년 기업가치 제고계획 발표),우주항공산업(누리호/인공위성 등),,,,,,,https://kr.tradingview.com/symbols/KRX-007660/
미래에셋벤처투자,100790,+28.95%,294633,16527413,거래대금,294633,3,마켓컬리(kurly),스페이스X(SpaceX),창투사,,,,,,,https://kr.tradingview.com/symbols/KRX-100790/
현대로템,064350,+1.57%,253628,1135791,거래대금,253628,3,방위산업/전쟁 및 테러,우주항공산업(누리호/인공위성 등),코리아 밸류업 지수(Korea Value-up Index),,,,,,,https://kr.tradingview.com/symbols/KRX-064350/
한국전력,015760,+2.69%,228268,3765251,거래대금,228268,3,셰일가스(Shale Gas),원자력발전,풍력에너지,,,,,,,https://kr.tradingview.com/symbols/KRX-015760/
포스코퓨처엠,003670,-1.88%,226422,966733,거래대금,226422,3,2차전지,2차전지(소재/부품),밸류업(24년 기업가치 제고계획 발표),,,,,,,https://kr.tradingview.com/symbols/KRX-003670/
리노공업,058470,+5.98%,218963,2413540,거래대금,218963,3,반도체 장비,시스템반도체,코리아 밸류업 지수(Korea Value-up Index),,,,,,,https://kr.tradingview.com/symbols/KRX-058470/
하나마이크론,067310,+1.38%,171096,4706866,거래대금,171096,3,반도체 장비,밸류업(25년 기업가치 제고계획 발표),시스템반도체,,,,,,,https://kr.tradingview.com/symbols/KRX-067310/
KB금융,105560,-0.07%,157770,1147854,거래대금,157770,3,STO(토큰증권 발행),밸류업(24년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,,https://kr.tradingview.com/symbols/KRX-105560/
테크윙,089030,+7.81%,146999,3085223,거래대금,146999,3,3D 낸드(NAND),반도체 장비,시스템반도체,,,,,,,https://kr.tradingview.com/symbols/KRX-089030/
HD현대일렉트릭,267260,-0.55%,142784,159521,거래대금,142784,3,밸류업(24년 기업가치 제고계획 발표),전력저장장치(ESS),코리아 밸류업 지수(Korea Value-up Index),,,,,,,https://kr.tradingview.com/symbols/KRX-267260/
한컴위드,054920,+9.33%,141486,21832866,거래대금,141486,3,드론(Drone),스테이블코인,핀테크(FinTech),,,,,,,https://kr.tradingview.com/symbols/KRX-054920/
카카오페이,377300,-0.92%,141092,2220114,거래대금,141092,3,스테이블코인,전자결제(전자화폐),핀테크(FinTech),,,,,,,https://kr.tradingview.com/symbols/KRX-377300/
스피어,347700,+14.92%,137124,5380612,거래대금,137124,3,스페이스X(SpaceX),우주항공산업(누리호/인공위성 등),원격진료/비대면진료(U-Healthcare),,,,,,,https://kr.tradingview.com/symbols/KRX-347700/
엘앤에프,066970,-4.39%,133459,1013381,거래대금,133459,3,2차전지,2차전지(소재/부품),전기차,,,,,,,https://kr.tradingview.com/symbols/KRX-066970/
아주IB투자,027360,+29.97%,122299,30483177,거래대금,122299,3,스페이스X(SpaceX),야놀자(Yanolja),창투사,,,,,,,https://kr.tradingview.com/symbols/KRX-027360/
쎄트렉아이,099320,+18.73%,114662,668938,거래대금,114662,3,드론(Drone),방위산업/전쟁 및 테러,우주항공산업(누리호/인공위성 등),,,,,,,https://kr.tradingview.com/symbols/KRX-099320/
LS머트리얼즈,417200,+10.67%,114468,7018546,거래대금,114468,3,고체산화물 연료전지(SOFC),전기차,풍력에너지,,,,,,,https://kr.tradingview.com/symbols/KRX-417200/
SK스퀘어,402340,+5.36%,393678,753394,거래대금,393678,2,밸류업(24년 기업가치 제고계획 발표),밸류업(25년 기업가치 제고계획 발표),,,,,,,,https://kr.tradingview.com/symbols/KRX-402340/
원익IPS,240810,+6.32%,230243,2127345,거래대금,230243,2,3D 낸드(NAND),반도체 장비,,,,,,,,https://kr.tradingview.com/symbols/KRX-240810/
현대글로비스,086280,+6.24%,215424,860327,거래대금,215424,2,밸류업(24년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,https://kr.tradingview.com/symbols/KRX-086280/
대한광통신,010170,+15.49%,213190,57166260,거래대금,213190,2,5G(5세대 이동통신),방위산업/전쟁 및 테러,,,,,,,,https://kr.tradingview.com/symbols/KRX-010170/
HPSP,403870,+0.80%,196107,4520755,거래대금,196107,2,반도체 장비,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,https://kr.tradingview.com/symbols/KRX-403870/
파마리서치,214450,+3.69%,176258,327296,거래대금,176258,2,미용기기,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,https://kr.tradingview.com/symbols/KRX-214450/
삼양식품,003230,+1.42%,172701,141388,거래대금,172701,2,밸류업(25년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,https://kr.tradingview.com/symbols/KRX-003230/
삼성전기,009150,-0.18%,170096,612389,거래대금,170096,2,갤럭시 부품주,폴더블폰,,,,,,,,https://kr.tradingview.com/symbols/KRX-009150/
고영,098460,-3.10%,162270,4970762,거래대금,162270,2,반도체 장비,시스템반도체,,,,,,,,https://kr.tradingview.com/symbols/KRX-098460/
에코프로머티,450080,-1.74%,156221,2110924,거래대금,156221,2,2차전지,2차전지(소재/부품),,,,,,,,https://kr.tradingview.com/symbols/KRX-450080/
KH바텍,060720,+14.55%,154014,9282334,거래대금,154014,2,갤럭시 부품주,폴더블폰,,,,,,,,https://kr.tradingview.com/symbols/KRX-060720/
테스,095610,+7.78%,147167,1992061,거래대금,147167,2,3D 낸드(NAND),반도체 장비,,,,,,,,https://kr.tradingview.com/symbols/KRX-095610/
LG이노텍,011070,-3.69%,138570,558519,거래대금,138570,2,밸류업(24년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,https://kr.tradingview.com/symbols/KRX-011070/
SK,034730,+6.06%,136079,421239,거래대금,136079,2,밸류업(24년 기업가치 제고계획 발표),핀테크(FinTech),,,,,,,,https://kr.tradingview.com/symbols/KRX-034730/
동진쎄미켐,005290,+6.09%,134082,2659941,거래대금,134082,2,日 수출 규제(국산화 등),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,https://kr.tradingview.com/symbols/KRX-005290/
흥구석유,024060,+8.86%,132168,9297761,거래대금,132168,2,LPG(액화석유가스),윤활유,,,,,,,,https://kr.tradingview.com/symbols/KRX-024060/
SNT에너지,100840,+17.60%,117778,2439896,거래대금,117778,2,셰일가스(Shale Gas),원자력발전,,,,,,,,https://kr.tradingview.com/symbols/KRX-100840/
HD한국조선해양,009540,-0.36%,110122,264844,거래대금,110122,2,방위산업/전쟁 및 테러,밸류업(24년 기업가치 제고계획 발표),,,,,,,,https://kr.tradingview.com/symbols/KRX-009540/
에스앤에스텍,101490,-3.88%,109876,1235219,거래대금,109876,2,日 수출 규제(국산화 등),시스템반도체,,,,,,,,https://kr.tradingview.com/symbols/KRX-101490/
클래시스,214150,+11.34%,108078,1463061,거래대금,108078,2,미용기기,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,https://kr.tradingview.com/symbols/KRX-214150/
HL만도,204320,+2.18%,100872,1545214,거래대금,100872,2,자동차 대표주,전기차,,,,,,,,https://kr.tradingview.com/symbols/KRX-204320/
