종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,존재하는 테마9,존재하는 테마10,존재하는 테마11,존재하는 테마12,존재하는 테마13,존재하는 테마14,차트링크
테크윙,089030,+5.04%,122960,2460715,거래대금,122960,4,3D 낸드(NAND),HBM(고대역폭메모리),반도체 장비,시스템반도체,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-089030/
현대차,005380,-5.30%,1533374,3028677,거래대금,1533374,3,밸류업(24년 기업가치 제고계획 발표),수소차(연료전지/부품/충전소 등),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-005380/
삼성SDI,006400,+0.52%,670309,1730887,거래대금,670309,3,IT 대표주,스마트폰,아이폰,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-006400/
미래에셋증권,006800,+4.65%,550157,12898430,거래대금,550157,3,밸류업(24년 기업가치 제고계획 발표),증권,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-006800/
대덕전자,353200,+20.57%,363338,5714415,거래대금,363338,3,PCB(FPCB 등),스마트폰,온디바이스 AI,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-353200/
한화비전,489790,+11.55%,269449,4385247,거래대금,269449,3,HBM(고대역폭메모리),반도체 장비,지주사,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-489790/
이수페타시스,007660,-0.34%,255340,2114618,거래대금,255340,3,PCB(FPCB 등),밸류업(25년 기업가치 제고계획 발표),우주항공산업(누리호/인공위성 등),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-007660/
고영,098460,+2.59%,228370,6626639,거래대금,228370,3,HBM(고대역폭메모리),반도체 장비,시스템반도체,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-098460/
심텍,222800,+7.46%,227119,3663744,거래대금,227119,3,3D 낸드(NAND),PCB(FPCB 등),온디바이스 AI,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-222800/
LIG넥스원,079550,-8.29%,217289,443420,거래대금,217289,3,방위산업/전쟁 및 테러,우주항공산업(누리호/인공위성 등),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-079550/
HPSP,403870,+4.85%,205129,4383831,거래대금,205129,3,반도체 장비,온디바이스 AI,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-403870/
KB금융,105560,-1.89%,194002,1419302,거래대금,194002,3,밸류업(24년 기업가치 제고계획 발표),지주사,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-105560/
현대건설,000720,-5.61%,175180,1684669,거래대금,175180,3,2025 하반기 신규상장,기업인수목적회사(SPAC),밸류업(25년 기업가치 제고계획 발표),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000720/
원익IPS,240810,+3.06%,138009,1190188,거래대금,138009,3,3D 낸드(NAND),OLED(유기 발광 다이오드),반도체 장비,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-240810/
현대글로비스,086280,-5.28%,131106,532865,거래대금,131106,3,밸류업(24년 기업가치 제고계획 발표),종합 물류,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-086280/
LS ELECTRIC,010120,+1.62%,121234,214902,거래대금,121234,3,수소차(연료전지/부품/충전소 등),스마트그리드(지능형전력망),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-010120/
이오테크닉스,039030,+4.30%,113410,299087,거래대금,113410,3,HBM(고대역폭메모리),LED장비,반도체 장비,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-039030/
하나금융지주,086790,-3.38%,109554,1078767,거래대금,109554,3,밸류업(24년 기업가치 제고계획 발표),지주사,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-086790/
덕양에너젠,000010,+248.50%,1964709,62456990,거래대금,1964709,2,2026 상반기 신규상장,수소차(연료전지/부품/충전소 등),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000010/
삼표시멘트,038500,+27.27%,502606,64633202,거래대금,502606,2,부동산 보유 자산주,시멘트/레미콘,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-038500/
POSCO홀딩스,005490,-4.53%,367705,1046195,거래대금,367705,2,밸류업(24년 기업가치 제고계획 발표),철강 주요종목,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-005490/
아주IB투자,027360,+6.21%,260774,54958014,거래대금,260774,2,야놀자(Yanolja),창투사,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-027360/
SFA반도체,036540,+14.29%,208495,27125815,거래대금,208495,2,반도체 장비,시스템반도체,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-036540/
효성중공업,298040,+2.24%,200845,77444,거래대금,200845,2,수소차(연료전지/부품/충전소 등),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-298040/
나라스페이스테크놀로지,478340,+3.08%,187030,3068163,거래대금,187030,2,2025 하반기 신규상장,우주항공산업(누리호/인공위성 등),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-478340/
현대모비스,012330,-1.75%,174587,388053,거래대금,174587,2,밸류업(24년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-012330/
흥구석유,024060,+8.92%,173788,11392542,거래대금,173788,2,LPG(액화석유가스),윤활유,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-024060/
동진쎄미켐,005290,+8.95%,170064,2995581,거래대금,170064,2,반도체 재료/부품,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-005290/
엘앤씨바이오,290650,+18.21%,160785,1822410,거래대금,160785,2,밸류업(25년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-290650/
하림지주,003380,+14.81%,159871,11029378,거래대금,159871,2,부동산 보유 자산주,지주사,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-003380/
HD현대일렉트릭,267260,-0.89%,155819,173328,거래대금,155819,2,밸류업(24년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-267260/
삼양식품,003230,-2.96%,135475,113778,거래대금,135475,2,밸류업(25년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-003230/
풍산,103140,+1.31%,123259,916574,거래대금,123259,2,방위산업/전쟁 및 테러,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-103140/
필옵틱스,161580,+2.99%,117229,2063552,거래대금,117229,2,OLED(유기 발광 다이오드),PCB(FPCB 등),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-161580/
KH바텍,060720,+15.11%,105975,5639994,거래대금,105975,2,스마트폰,폴더블폰,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-060720/
